LÔ-MÁ-JĪ,HÀN-JĪ,IA̍H-SÒ͘
Mui5-a2,梅仔,214
Peh8-mui5,白梅,214
Tho5-a2,桃仔,214
Tho5-jin5,桃仁,214
Li2-a2,李仔,214
Suann-lai5,山梨,214
Tsiau2-lai5,鳥梨,215
Tsui2-lai5,水梨,215
Lai5-a2,梨仔,215
Tiu5-tshun-hue,綢春花,215
Tua7-kim-ing,大金英,216
Kim-ing,金英,216
Sio2-kim-ing,小金英,217
Hoo2-m5-tshi3,虎梅刺,218
Iam5-po5,鹽婆,220
Hoo2-m5-tshi3,虎梅刺,220
Hoo2-m5-tshi3,虎梅刺,221
Tshi3-mui5,蕀梅,221
Ha5-phi5-lam5,夏皮楠,222
Kue-bu2-tsu,鷄母珠,223
Kue-bu5-tsin-tsu,鷄母真珠,223
Kue-bu2-tsu2,鷄母子,223
Ang5-tsu-bok8,紅珠木,223
Siunn-si-a2,相思仔,223
Hiong-si-siu7,相思樹,223
Kim-hap8-huan,金合歡,223
Gu5-kak-hue,牛角花,223
Tshi3-kiu5-hue,刺毬花,223
Huan-tshi3-a2,蕃刺仔,223
Iunn5-kang-tshi3,羊牨刺,223
Sat-pin3-tshau2,虱篦草,223
Bian2-tian7-hap-huan,緬甸合歡,224
Huan-po5-tshiu7,蕃婆樹,224
Peh8-ki5-tshun,白其春,224
Suann-thoo5-tau7,山土豆,224
Sin5-sit8-tshau2,蠅翼草,224
Sue3-pun2-iu5-thiong5-sit8,細本油蟲翼,224
Thoo5-tau7-ku7,土豆舅,224
Thoo5-tau7,土豆,224
Kau-tin5,鉤藤,225
Kiok-hue-bok8,菊花木,225
Tah-bah-tshi3,搭肉刺,225
Ing-hioh8-tshi3,鷹葉刺,225
Tah-bah-tshi3,搭肉刺,225
Ng5-oo5-iap8,黃蝴蝶,225
Tsang-bok8,稯木,225
Soo-bok8,蘇木,225
Hue-le5-tshiu7-tau7,花螺樹豆,226
